name,name_norm,country,lei,wikidata_qid,alias1,alias2,alias3,alias4,alias5,address,city,postal_code,source
RAGHUNATH BANERJEE HIMGHAR PRIVATE LIMITED,raghunath banerjee himghar private,IN,8945007ZS0XO2Y7AFE11,,,,,,,"253/5 SHIBTALA STREET, BHADRAKALI",UTTARPARA,712232,GLEIF
BROOKLYN SCSP,brooklyn scsp,LU,213800LY4C16S94UVC10,,,,,,,"20, RUE DE LA POSTE",LUXEMBOURG,L-2346,GLEIF
TOP COAST INVESTMENT LIMITED,top coast investment,VG,254900PMDH5UGA7W7746,,,,,,,C/O CONYERS TRUST COMPANY (BVI) LIMITED COMMERCE HOUSE WICKHAMS CAY 1 P.O. BOX 3140 TORTOLA,ROAD TOWN,VG1110,GLEIF
AB Yllw,yllw,SE,636700IDD4XHLGJB9V74,,,,,,,Riddargatan 7,Stockholm,114 35,GLEIF
ALEXPHYSIO LIMITED,alexphysio,CY,984500BF09EEP03D4834,,,,,,,"Ευαγόρα Παλληκαρίδη, 15",Τσέρι,2480,GLEIF
COBRA,cobra,FR,969500S3DKCWQBWTF036,,,,,,,61 RUE DE BERCY,PARIS,75012,GLEIF
STVN GROUP,stvn group,FR,9695004LQFG5JJMJ0538,,,,,,,12 RUE ABBE VALLEE,SAINT-BRIEUC,22000,GLEIF
AMNAHA PTY LIMITED,amnaha pty,AU,98450006EC7F3CAE0A14,,,,,,,77 CASTLEREAGH STREET,SYDNEY,2000,GLEIF
LUXAIR TECNICA SL,luxair tecnica sl,ES,959800Q5F6N8YF4WVG28,,,,,,,PLAZA DE CASTILLA 3,Madrid,28046,GLEIF
MUMBAI ACCESSORY PRIVATE LIMITED,mumbai accessory private,IN,984500053B0409F8OE58,,,,,,,"SHREE BOMBAY COTTON MILL ESTATE, UNIT 15-BHATIA CHAWL MULCHAND CHOWK, OPP ABHUDAY BANK",KALACHOWKY,400033,GLEIF
J L BRADSHAW & COMPANY LIMITED,j l bradshaw &,IE,9845000FD9CF36BC8518,,,,,,,STRADBALLY ROAD CO. LAOISE.,PORTLAOISE,R32 H5PW,GLEIF
Outer Circle AB,outer circle,SE,6488IILZ5B263Q43I762,,,,,,,Tegnérgatan 28 Lgh 1509,Stockholm,113 59,GLEIF
T-REX 2X Inverse BLSH Daily Target ETF,t-rex 2x inverse blsh daily target etf,US,2549008XF62OG2U5WQ81,,,,,,,"C/O CAPITOL SERVICES, INC. 108 LAKELAND AVE.",DOVER,19901,GLEIF
W Car Rental Company,w car rental,SA,558600CCOXWXTUWDNP79,,,,,,,Riyadh 6250,Riyadh,14924,GLEIF
Rotech Realty LLC,rotech realty,US,254900E9W89SGKLY2659,,,,,,,C/O PRADEEP GENDAPODI 5412 N GENERAL BRUCE DR,TEMPLE,76501,GLEIF
ARCHIT CABLES,archit cables,IN,3358004CJ3A1TEIANL60,,,,,,,"PLOT NO. 3, POCKET E SECTOR 5, DSIDC INDUSTRIAL AREA BAWANA",NORTH WEST DELHI,110039,GLEIF
VENTURE PROPERTIES GROUP LIMITED,venture properties group,GB,213800NT26ZYOZ85J243,,,,,,,6 DOMINUS WAY MERIDIAN BUSINESS PARK,LEICESTER,LE19 1RP,GLEIF
GORSKI STRUCTURED INVESTMENTS 1 LP,gorski structured investments 1,US,254900ZSZO6Y9I6VWR07,,,,,,,"c/o HARVARD BUSINESS SERVICES, INC. 16192 COASTAL HWY",LEWES,19958,GLEIF
PARI SOAP MILLS,pari soap mills,IN,335800R64C8FK8YCBZ94,,,,,,,"PARI SOAP MILLS, VILLAGE IBBAN KALAN, CHABAL ROAD, AMRITSAR, PUNJAB,",AMRITSAR,143001,GLEIF
PLUMTREE FUNDING LIMITED,plumtree funding,GB,635400XYYYUHD3PHZQ79,,,,,,,35-41 Folgate Street London,London,E1 6BX,GLEIF
PARIKSHIT GHANSHYAMBHAI LATHIA,parikshit ghanshyambhai lathia,IN,6488WZ2LJ1U722H63G08,,,,,,,"33, GOPINATHJI BUNGLOWS, NR. DABHOLI CHAR RASTA VED ROAD, KATARGAM, Gujarat",Surat,395004,GLEIF
Sunococorp LLC,sunococorp,US,529900W6BS3KGM2OOQ61,,,,,,,"c/o Corporation Service Company, 251 Little Falls Drive",Wilmington,19808,GLEIF
SHAKE THE SCENE,shake the scene,FR,9845003E7C5EAA1DA252,,,,,,,1 RUE DURAND-BENECH,FONTENAY-AUX-ROSES,92260,GLEIF
FILMTEC PRIVATE LIMITED,filmtec private,IN,6488NRM8K9Z4M63I0396,,,,,,,"Sr. No. 1746, 1835, 1841/P1, 1843/1, 1847/1, Pardi, Dungri Gujarat",Valsad,396375,GLEIF
Lillaforssnickeriet AB,lillaforssnickeriet,SE,8945006QZ059BD6F0Q85,,,,,,,DEGEDALSVÄGEN 1,Degeberga,297 31,GLEIF
LAMUS Capital OU,lamus capital ou,EE,529900EQM9VQD9OOCA84,,,,,,,Tornimäe tn 5,Tallinn,10145,GLEIF
DOMAT INVESTMENTS AND TRADING SOCIEDAD LIMITADA,domat investments and trading sociedad,ES,959800LWPW046ZBA6C76,,,,,,,C/ PROFESOR BELTRAN BAGUENA 5 5 - 4,Valencia,46009,GLEIF
3UNDER4 INVESTMENTS LIMITED,3under4 investments,GB,213800TJ199A46ERHM57,,,,,,,5 VERULAM ROAD,ST. ALBANS,AL3 4DA,GLEIF
AJIT KUMAR,ajit kumar,IN,3358005KAE2VFW7YMZ47,,,,,,,"P.S. TARAPUR, POST LAUNA, MIDDLE SCHOOL MAHESHPUR",MUNGER,813221,GLEIF
LIAM ROCK S R L,liam rock s r l,IT,529900EXVTWZMZTHL697,,,,,,,VIA MACHIAVELLI 8/A,Cingoli,62011,GLEIF
PHINES PROPERTY,phines property,FR,969500649BC4EL0V5837,,,,,,,5 RUE MARIETTA MARTIN,PARIS,75016,GLEIF
YOGESH KUMAR BANSAL,yogesh kumar bansal,IN,64880U2ED29CH1E38U65,,,,,,,"B-30, NEW MANDI YARD Uttar Pradesh",Hathras,204101,GLEIF
CASH FUND,cash fund,NZ,213800EL7YMMGI7YXW65,,,,,,,"C/O FISHER FUNDS MANAGEMENT LIMITED LEVEL 1, 67-73 HURSTMERE ROAD, TAKAPUNA",AUCKLAND,0622,GLEIF
BIDHAN JEWELLERY WORKS PRIVATE LIMITED,bidhan jewellery works private,IN,3358007NU5B1LQIAQN92,,,,,,,"C/O-PRADIP KUMAR KARMAKARBIDHAN MARKET,, DARJILING, SILIGURI, WEST BENGAL, INDIA,",SILIGURI,734001,GLEIF
